ID,RA,Dec,period
b313_316_20844,261.98675625,-37.02400178,0.375375
b313_316_34276,262.04726148,-37.01051717,0.260066
b313_316_2164,261.96544444,-36.96327334,0.613516
b313_316_36277,262.05789775,-37.00654202,14.827995
b313_316_32214,262.0078792,-37.04930136,628.930818
b313_316_36917,262.0496667,-37.01926526,0.927609
b313_316_68100,262.10843053,-37.08597271,0.446472
b313_316_6250,261.91740328,-37.04089788,0.429686
b313_316_12524,261.93990165,-37.04314861,0.278178
b313_316_2791,261.963679,-36.9684037,1.442252
b313_316_32718,262.00785601,-37.05147618,0.36893
b313_316_29263,262.05421158,-36.97963232,2.348079
b313_316_58871,262.11968928,-37.03052226,0.419169
b313_316_78697,262.1224119,-37.11982061,0.203874
b313_316_6633,261.94731604,-37.00646403,0.986067
b313_316_12724,262.01614981,-36.95176331,0.688961
b313_316_5915,261.99862018,-36.94100474,0.50319
b313_402_53271,260.85410267,-37.5482752,0.447317
b313_402_21690,260.76973574,-37.4928423,0.531477
b313_402_14339,260.82297782,-37.392995,531.914894
b313_402_54444,260.93858655,-37.45506009,1.604029
b313_402_26001,260.75394524,-37.53362254,25.087807
b313_402_70181,260.89019577,-37.58222342,0.380004
b313_402_1182,260.71449244,-37.45138563,432.900433
b313_402_22385,260.73361734,-37.53854722,0.356897
b313_402_36185,260.78996838,-37.54237107,1.008837
b313_402_56344,260.86548802,-37.54867363,0.538526
b313_402_65320,260.91661837,-37.52973145,0.840202
b313_402_19456,260.83780443,-37.40179788,0.57372
b313_402_64809,260.95500088,-37.48269775,1020.408163
b313_404_35502,261.43012154,-37.78172617,0.216841
b313_404_11023,261.2925071,-37.80756291,0.276312
b313_404_61347,261.55921999,-37.77820478,0.200238
b313_404_55037,261.50500838,-37.80818278,0.813729
b313_404_53879,261.43338297,-37.88477403,0.581112
b313_404_3070,261.35322809,-37.6965974,0.215062
b313_404_3589,261.33970042,-37.71510176,0.500856
b313_404_62280,261.53848213,-37.8075703,840.336134
b313_404_47660,261.47782688,-37.79930222,0.237045
b313_404_28623,261.44625168,-37.72374968,0.220693
b313_404_3599,261.27616609,-37.78876871,0.414142
b313_404_15725,261.40600117,-37.70083913,0.92262
b313_404_26119,261.36761045,-37.80154594,0.256226
b313_404_22046,261.38153657,-37.76379349,0.361687
b313_404_22777,261.42970393,-37.71175972,1.468882
b313_404_13932,261.36086676,-37.74385389,0.570688
b313_404_39876,261.36968921,-37.87646113,877.192982
b313_406_31537,261.08714534,-37.14203494,0.242815
b313_406_56105,261.17825724,-37.13940024,0.220996
b313_406_73382,261.18655554,-37.2002305,0.891424
b313_406_29293,261.11642929,-37.09857283,0.351082
b313_406_56641,261.12458733,-37.20462745,0.262676
