ID_1,RA_1,Dec,period,ID_2,Type,Subtype,Ra_degrees,Dec_Degrees,RA_2,Decl,I,V,V_I,P_1,T0_1,A_1,A_2,Separation
b346_614_59191,264.38328999,-29.37245678,0.505413,OGLE-BLG-RRLYR-23273,RRLyr,RRab,264.38329166666665,-29.372444444444444,17:37:31.99,-29:22:20.8,18.519,21.979,3.46,0.505426,7000.13885,0.94,-99.99,0.04471843923608012
b346_614_27892,264.33751749,-29.32661755,0.217812,OGLE-BLG-ECL-046492,ECL,NC,264.3375,-29.326611111111113,17:37:21.00,-29:19:35.8,18.093,20.846,2.753,0.4356278,7000.3307,0.339,0.297,0.059588044725861586
b346_614_91499,264.39231247,-29.47493098,0.794464,OGLE-BLG-ECL-047465,ECL,NC,264.39229166666667,-29.474944444444443,17:37:34.15,-29:28:29.8,17.717,21.021,3.304,1.5889094,7001.1124,0.373,0.344,0.0812429616668826
b346_614_79891,264.45495884,-29.34732647,0.500942,OGLE-BLG-RRLYR-23500,RRLyr,RRab,264.4549583333333,-29.34733333333334,17:37:49.19,-29:20:50.4,18.914,-99.99,-99.99,0.5009475,7000.04751,0.663,-99.99,0.024759101358449484
b346_614_10994,264.31525304,-29.29753397,0.468424,OGLE-BLG-ECL-046124,ECL,C,264.31525,-29.297527777777773,17:37:15.66,-29:17:51.1,17.038,19.917,2.879,0.9368288,7000.0907,0.259,0.249,0.0242492102342728
b346_614_103922,264.45779862,-29.43066954,1.433795,OGLE-BLG-ECL-048797,ECL,NC,264.4577916666667,-29.430666666666667,17:37:49.87,-29:25:50.4,17.68,21.377,3.697,1.4338028,7001.3384,0.358,0.236,0.02413110006519993
b346_614_14183,264.23738971,-29.41492583,0.591419,OGLE-BLG-RRLYR-22844,RRLyr,RRab,264.2373750000001,-29.414916666666667,17:36:56.97,-29:24:53.7,18.441,22.151,3.71,0.5914182,7000.48318,0.771,-99.99,0.05671078994123901
b346_614_50214,264.34101497,-29.39872429,0.5117,OGLE-BLG-RRLYR-23142,RRLyr,RRab,264.3410416666666,-29.39872222222222,17:37:21.85,-29:23:55.4,18.281,21.424,3.143,0.5117151,7000.01325,0.698,-99.99,0.08406191395419874
b346_614_92022,264.40525906,-29.45905497,0.484341,OGLE-BLG-RRLYR-23351,RRLyr,RRab,264.40524999999997,-29.459055555555548,17:37:37.26,-29:27:32.6,18.938,-99.99,-99.99,0.484353,7000.30984,0.933,-99.99,0.028477120485965336
b346_614_36330,264.31527665,-29.3865343,1.323644,OGLE-BLG-ELL-002797,ECL,ELL,264.31529166666667,-29.386555555555553,17:37:15.67,-29:23:11.6,16.915,20.014,3.099,1.3236633,7001.1371,0.123,0.106,0.08985600638156542
b346_614_76736,264.35860674,-29.46846155,0.609314,OGLE-BLG-RRLYR-23203,RRLyr,RRab,264.35858333333334,-29.468444444444444,17:37:26.06,-29:28:06.4,18.419,21.901,3.482,0.6093152,7000.47324,0.274,-99.99,0.09578178846114238
b346_616_62812,264.8982326,-29.73077678,0.28745,OGLE-BLG-ECL-057098,ECL,NC,264.89825,-29.730777777777774,17:39:35.58,-29:43:50.8,17.061,19.35,2.289,0.2874506,7000.0192,0.872,0.64,0.05451287113926227
b347_102_30796,264.4237349,-29.22531014,0.303837,OGLE-BLG-ECL-048119,ECL,NC,264.42370833333325,-29.225305555555558,17:37:41.69,-29:13:31.1,16.946,19.838,2.892,0.6076751,7000.271,0.317,0.253,0.08508170642175321
b347_102_13549,264.39067854,-29.20750978,0.327116,OGLE-BLG-ECL-047431,ECL,NC,264.3906666666667,-29.207499999999996,17:37:33.76,-29:12:27.0,16.458,18.523,2.065,0.6542232,7000.4892,0.443,0.124,0.05129910606147826
b347_102_65975,264.4902783,-29.26453373,0.557221,OGLE-BLG-RRLYR-23614,RRLyr,RRab,264.49025,-29.26452777777778,17:37:57.66,-29:15:52.3,18.3,-99.99,-99.99,0.5572199,7000.43546,0.484,-99.99,0.09142388912992927
b347_102_25955,264.38458195,-29.26160327,0.304441,OGLE-BLG-ECL-047326,ECL,NC,264.38458333333335,-29.261583333333338,17:37:32.30,-29:15:41.7,16.253,18.0,1.747,0.3044396,7000.0004,0.389,0.337,0.07190337258391087
b347_102_90872,264.55929443,-29.26542167,0.539703,OGLE-BLG-RRLYR-23776,RRLyr,RRab,264.5592916666667,-29.26538888888889,17:38:14.23,-29:15:55.4,18.964,-99.99,-99.99,0.5397037,7000.10408,0.634,-99.99,0.11833065848162565
b347_102_20383,264.45073686,-29.14911657,0.502273,OGLE-BLG-RRLYR-23484,RRLyr,RRab,264.45070833333335,-29.14911111111111,17:37:48.17,-29:08:56.8,17.982,21.031,3.049,0.5022709,7000.49226,0.702,-99.99,0.09181780415016975
b347_102_66366,264.48715783,-29.27038193,0.211409,OGLE-BLG-ECL-049368,ECL,C,264.487125,-29.270388888888892,17:37:56.91,-29:16:13.4,18.606,22.184,3.578,0.4228216,7000.2724,0.481,0.474,0.10609807404714643
b347_102_42976,264.4058434,-29.29488121,1.225385,OGLE-BLG-ECL-047742,ECL,NC,264.4058333333333,-29.294888888888888,17:37:37.40,-29:17:41.6,12.907,13.901,0.994,2.4506706,7002.0324,0.316,0.094,0.041989169827943124
b347_102_10515,264.39108301,-29.19593809,102.040816,OGLE-BLG-ECL-047439,ECL,NC,264.39108333333337,-29.19594444444444,17:37:33.86,-29:11:45.4,17.132,-99.99,-99.99,101.6814888,7019.7674,0.16,0.11,0.022898556252929796
b347_102_54875,264.47461887,-29.24380936,2.068637,OGLE-BLG-ECL-049132,ECL,NC,264.4745833333333,-29.243805555555554,17:37:53.90,-29:14:37.7,14.329,16.388,2.059,4.1371272,7002.666,0.232,0.048,0.11246398749627752
b347_102_15794,264.43280625,-29.15720877,2.007992,OGLE-BLG-ECL-048285,ECL,NC,264.4327916666666,-29.157222222222227,17:37:43.87,-29:09:26.0,18.688,-99.99,-99.99,4.0161089,7002.3099,1.324,0.338,0.06668782851401286
b347_102_22180,264.45063757,-29.1560791,0.61979,OGLE-BLG-RRLYR-23483,RRLyr,RRab,264.450625,-29.15608333333333,17:37:48.15,-29:09:21.9,17.812,21.111,3.299,0.6198136,7000.01297,0.447,-99.99,0.042355165080747964
b347_102_1613,264.42878757,-29.11071723,0.478238,OGLE-BLG-RRLYR-23423,RRLyr,RRab,264.42879166666665,-29.110694444444444,17:37:42.91,-29:06:38.5,18.034,21.11,3.076,0.4782544,7000.38325,0.782,-99.99,0.08303383261824115
b347_102_17408,264.45396051,-29.13381948,0.487786,OGLE-BLG-RRLYR-23496,RRLyr,RRab,264.45395833333333,-29.133805555555554,17:37:48.95,-29:08:01.7,17.987,20.895,2.908,0.487787,7000.0869,0.822,-99.99,0.050593135197485095
b347_104_16180,264.98826475,-29.43225176,1.678585,OGLE-BLG-ECL-058951,ECL,NC,264.98825,-29.43225,17:39:57.18,-29:25:56.1,18.299,-99.99,-99.99,1.6785207,7001.5107,0.416,0.204,0.046678784667150815
b347_104_47574,265.02247075,-29.52002617,0.41102,OGLE-BLG-ECL-059596,ECL,C,265.0224583333333,-29.520027777777777,17:40:05.39,-29:31:12.1,18.06,-99.99,-99.99,0.8220753,7000.813,0.464,0.439,0.039325480171469605
b347_104_47760,265.03094823,-29.50930584,0.63174,OGLE-BLG-ECL-059764,ECL,NC,265.03095833333333,-29.509305555555557,17:40:07.43,-29:30:33.5,16.491,19.067,2.576,1.2634208,7000.5861,0.567,0.152,0.03167022704783417
b347_104_50371,265.07725405,-29.45750742,0.318673,OGLE-BLG-ECL-060710,ECL,NC,265.07725,-29.457527777777777,17:40:18.54,-29:27:27.1,17.519,19.823,2.304,0.3186777,7000.2274,0.532,0.501,0.07437941016692198
b347_106_57778,264.73575366,-28.89263617,0.212631,OGLE-BLG-ECL-053920,ECL,C,264.73575,-28.892611111111115,17:38:56.58,-28:53:33.4,15.095,17.067,1.972,0.425263,7000.0169,0.346,0.321,0.09094659344005367
b347_106_39665,264.64387393,-28.95107883,0.808617,OGLE-BLG-RRLYR-24018,RRLyr,RRab,264.643875,-28.951055555555556,17:38:34.53,-28:57:03.8,17.884,21.299,3.415,0.8086319,7000.70835,0.54,-99.99,0.08385576951773238
